Using Theano backend.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is enabled with initial size: 95.0% of memory, cuDNN 5105)
Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.682683
Will train until validation_0-logloss hasn't improved in 100 rounds.
[1]	validation_0-logloss:0.674879
[2]	validation_0-logloss:0.664445
[3]	validation_0-logloss:0.65944
[4]	validation_0-logloss:0.652361
[5]	validation_0-logloss:0.64463
[6]	validation_0-logloss:0.639397
[7]	validation_0-logloss:0.635893
[8]	validation_0-logloss:0.634141
[9]	validation_0-logloss:0.629126
[10]	validation_0-logloss:0.626037
[11]	validation_0-logloss:0.620503
[12]	validation_0-logloss:0.61395
[13]	validation_0-logloss:0.613218
[14]	validation_0-logloss:0.610981
[15]	validation_0-logloss:0.608881
[16]	validation_0-logloss:0.605307
[17]	validation_0-logloss:0.602408
[18]	validation_0-logloss:0.600678
[19]	validation_0-logloss:0.601837
[20]	validation_0-logloss:0.601614
[21]	validation_0-logloss:0.599084
[22]	validation_0-logloss:0.597688
[23]	validation_0-logloss:0.595616
[24]	validation_0-logloss:0.591332
[25]	validation_0-logloss:0.591961
[26]	validation_0-logloss:0.592292
[27]	validation_0-logloss:0.588441
[28]	validation_0-logloss:0.589907
[29]	validation_0-logloss:0.590298
[30]	validation_0-logloss:0.590739
[31]	validation_0-logloss:0.5908
[32]	validation_0-logloss:0.588538
[33]	validation_0-logloss:0.589583
[34]	validation_0-logloss:0.590081
[35]	validation_0-logloss:0.590497
[36]	validation_0-logloss:0.591051
[37]	validation_0-logloss:0.591727
[38]	validation_0-logloss:0.591768
[39]	validation_0-logloss:0.591573
[40]	validation_0-logloss:0.592882
[41]	validation_0-logloss:0.593762
[42]	validation_0-logloss:0.593409
[43]	validation_0-logloss:0.59461
[44]	validation_0-logloss:0.595611
[45]	validation_0-logloss:0.596898
[46]	validation_0-logloss:0.59676
[47]	validation_0-logloss:0.597333
[48]	validation_0-logloss:0.595457
[49]	validation_0-logloss:0.596688
[50]	validation_0-logloss:0.597199
[51]	validation_0-logloss:0.597225
[52]	validation_0-logloss:0.597087
[53]	validation_0-logloss:0.597817
[54]	validation_0-logloss:0.597947
[55]	validation_0-logloss:0.597821
[56]	validation_0-logloss:0.599607
[57]	validation_0-logloss:0.600369
[58]	validation_0-logloss:0.600404
[59]	validation_0-logloss:0.601457
[60]	validation_0-logloss:0.601414
[61]	validation_0-logloss:0.602293
[62]	validation_0-logloss:0.601919
[63]	validation_0-logloss:0.602259
[64]	validation_0-logloss:0.602252
[65]	validation_0-logloss:0.603004
[66]	validation_0-logloss:0.603193
[67]	validation_0-logloss:0.602283
[68]	validation_0-logloss:0.601506
[69]	validation_0-logloss:0.600877
[70]	validation_0-logloss:0.601079
[71]	validation_0-logloss:0.601403
[72]	validation_0-logloss:0.60224
[73]	validation_0-logloss:0.600933
[74]	validation_0-logloss:0.601638
[75]	validation_0-logloss:0.601673
[76]	validation_0-logloss:0.602436
[77]	validation_0-logloss:0.602915
[78]	validation_0-logloss:0.602564
[79]	validation_0-logloss:0.602147
[80]	validation_0-logloss:0.602168
[81]	validation_0-logloss:0.602694
[82]	validation_0-logloss:0.602473
[83]	validation_0-logloss:0.602258
[84]	validation_0-logloss:0.601782
[85]	validation_0-logloss:0.602036
[86]	validation_0-logloss:0.602339
[87]	validation_0-logloss:0.602996
[88]	validation_0-logloss:0.603838
[89]	validation_0-logloss:0.603728
[90]	validation_0-logloss:0.603873
[91]	validation_0-logloss:0.603498
[92]	validation_0-logloss:0.603635
[93]	validation_0-logloss:0.603908
[94]	validation_0-logloss:0.60383
[95]	validation_0-logloss:0.60426
[96]	validation_0-logloss:0.60425
[97]	validation_0-logloss:0.604628
[98]	validation_0-logloss:0.604767
[99]	validation_0-logloss:0.604832
[100]	validation_0-logloss:0.605032
[101]	validation_0-logloss:0.605554
[102]	validation_0-logloss:0.605796
[103]	validation_0-logloss:0.606017
[104]	validation_0-logloss:0.60565
[105]	validation_0-logloss:0.605267
[106]	validation_0-logloss:0.605327
[107]	validation_0-logloss:0.605163
[108]	validation_0-logloss:0.604907
[109]	validation_0-logloss:0.60438
[110]	validation_0-logloss:0.604518
[111]	validation_0-logloss:0.604659
[112]	validation_0-logloss:0.604406
[113]	validation_0-logloss:0.604234
[114]	validation_0-logloss:0.604223
[115]	validation_0-logloss:0.604137
[116]	validation_0-logloss:0.604344
[117]	validation_0-logloss:0.604441
[118]	validation_0-logloss:0.604504
[119]	validation_0-logloss:0.604532
[120]	validation_0-logloss:0.604449
[121]	validation_0-logloss:0.604356
[122]	validation_0-logloss:0.604693
[123]	validation_0-logloss:0.604795
[124]	validation_0-logloss:0.60524
[125]	validation_0-logloss:0.605243
[126]	validation_0-logloss:0.605614
[127]	validation_0-logloss:0.605925
Stopping. Best iteration:
[27]	validation_0-logloss:0.588441

Kaggle Test Data being obtained
Finished getting kaggle test data
