Using Theano backend.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is enabled with initial size: 95.0% of memory, cuDNN 5105)
Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.682231
Will train until validation_0-logloss hasn't improved in 100 rounds.
[1]	validation_0-logloss:0.672154
[2]	validation_0-logloss:0.66492
[3]	validation_0-logloss:0.654975
[4]	validation_0-logloss:0.646541
[5]	validation_0-logloss:0.639373
[6]	validation_0-logloss:0.632247
[7]	validation_0-logloss:0.628122
[8]	validation_0-logloss:0.623427
[9]	validation_0-logloss:0.616872
[10]	validation_0-logloss:0.611172
[11]	validation_0-logloss:0.610197
[12]	validation_0-logloss:0.605329
[13]	validation_0-logloss:0.604676
[14]	validation_0-logloss:0.598426
[15]	validation_0-logloss:0.59748
[16]	validation_0-logloss:0.596537
[17]	validation_0-logloss:0.592661
[18]	validation_0-logloss:0.590054
[19]	validation_0-logloss:0.586604
[20]	validation_0-logloss:0.581722
[21]	validation_0-logloss:0.579579
[22]	validation_0-logloss:0.576855
[23]	validation_0-logloss:0.575986
[24]	validation_0-logloss:0.575769
[25]	validation_0-logloss:0.574829
[26]	validation_0-logloss:0.574679
[27]	validation_0-logloss:0.572934
[28]	validation_0-logloss:0.572101
[29]	validation_0-logloss:0.571511
[30]	validation_0-logloss:0.570381
[31]	validation_0-logloss:0.570353
[32]	validation_0-logloss:0.569544
[33]	validation_0-logloss:0.569828
[34]	validation_0-logloss:0.570865
[35]	validation_0-logloss:0.571394
[36]	validation_0-logloss:0.572236
[37]	validation_0-logloss:0.571921
[38]	validation_0-logloss:0.569801
[39]	validation_0-logloss:0.5699
[40]	validation_0-logloss:0.571265
[41]	validation_0-logloss:0.571874
[42]	validation_0-logloss:0.571331
[43]	validation_0-logloss:0.573017
[44]	validation_0-logloss:0.57352
[45]	validation_0-logloss:0.574238
[46]	validation_0-logloss:0.574483
[47]	validation_0-logloss:0.573485
[48]	validation_0-logloss:0.574179
[49]	validation_0-logloss:0.574127
[50]	validation_0-logloss:0.573899
[51]	validation_0-logloss:0.574318
[52]	validation_0-logloss:0.573911
[53]	validation_0-logloss:0.573559
[54]	validation_0-logloss:0.574723
[55]	validation_0-logloss:0.574188
[56]	validation_0-logloss:0.574441
[57]	validation_0-logloss:0.574296
[58]	validation_0-logloss:0.575182
[59]	validation_0-logloss:0.575781
[60]	validation_0-logloss:0.576506
[61]	validation_0-logloss:0.576672
[62]	validation_0-logloss:0.577111
[63]	validation_0-logloss:0.576762
[64]	validation_0-logloss:0.57602
[65]	validation_0-logloss:0.575684
[66]	validation_0-logloss:0.57546
[67]	validation_0-logloss:0.575638
[68]	validation_0-logloss:0.57603
[69]	validation_0-logloss:0.575537
[70]	validation_0-logloss:0.575119
[71]	validation_0-logloss:0.575201
[72]	validation_0-logloss:0.575402
[73]	validation_0-logloss:0.575686
[74]	validation_0-logloss:0.576176
[75]	validation_0-logloss:0.576364
[76]	validation_0-logloss:0.57663
[77]	validation_0-logloss:0.577253
[78]	validation_0-logloss:0.576401
[79]	validation_0-logloss:0.576241
[80]	validation_0-logloss:0.576676
[81]	validation_0-logloss:0.57673
[82]	validation_0-logloss:0.576908
[83]	validation_0-logloss:0.57772
[84]	validation_0-logloss:0.578151
[85]	validation_0-logloss:0.578248
[86]	validation_0-logloss:0.577992
[87]	validation_0-logloss:0.57795
[88]	validation_0-logloss:0.577922
[89]	validation_0-logloss:0.577843
[90]	validation_0-logloss:0.577619
[91]	validation_0-logloss:0.577904
[92]	validation_0-logloss:0.578004
[93]	validation_0-logloss:0.578366
[94]	validation_0-logloss:0.577799
[95]	validation_0-logloss:0.577596
[96]	validation_0-logloss:0.577498
[97]	validation_0-logloss:0.577474
[98]	validation_0-logloss:0.577819
[99]	validation_0-logloss:0.57749
[100]	validation_0-logloss:0.577506
[101]	validation_0-logloss:0.577941
[102]	validation_0-logloss:0.578045
[103]	validation_0-logloss:0.578214
[104]	validation_0-logloss:0.577939
[105]	validation_0-logloss:0.578047
[106]	validation_0-logloss:0.578393
[107]	validation_0-logloss:0.578648
[108]	validation_0-logloss:0.578741
[109]	validation_0-logloss:0.578564
[110]	validation_0-logloss:0.578624
[111]	validation_0-logloss:0.578973
[112]	validation_0-logloss:0.578894
[113]	validation_0-logloss:0.57904
[114]	validation_0-logloss:0.579001
[115]	validation_0-logloss:0.578967
[116]	validation_0-logloss:0.57884
[117]	validation_0-logloss:0.579012
[118]	validation_0-logloss:0.578876
[119]	validation_0-logloss:0.57882
[120]	validation_0-logloss:0.579001
[121]	validation_0-logloss:0.578596
[122]	validation_0-logloss:0.578693
[123]	validation_0-logloss:0.579011
[124]	validation_0-logloss:0.578894
[125]	validation_0-logloss:0.579043
[126]	validation_0-logloss:0.579039
[127]	validation_0-logloss:0.579152
[128]	validation_0-logloss:0.579399
[129]	validation_0-logloss:0.57942
[130]	validation_0-logloss:0.579419
[131]	validation_0-logloss:0.579336
[132]	validation_0-logloss:0.579454
Stopping. Best iteration:
[32]	validation_0-logloss:0.569544

Kaggle Test Data being obtained
Finished getting kaggle test data
