Using Theano backend.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is enabled with initial size: 95.0% of memory, cuDNN 5105)
Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.682791
Will train until validation_0-logloss hasn't improved in 100 rounds.
[1]	validation_0-logloss:0.671638
[2]	validation_0-logloss:0.66065
[3]	validation_0-logloss:0.653469
[4]	validation_0-logloss:0.648616
[5]	validation_0-logloss:0.643692
[6]	validation_0-logloss:0.636624
[7]	validation_0-logloss:0.630254
[8]	validation_0-logloss:0.623755
[9]	validation_0-logloss:0.620422
[10]	validation_0-logloss:0.616348
[11]	validation_0-logloss:0.611659
[12]	validation_0-logloss:0.608316
[13]	validation_0-logloss:0.604292
[14]	validation_0-logloss:0.60174
[15]	validation_0-logloss:0.598252
[16]	validation_0-logloss:0.595794
[17]	validation_0-logloss:0.592985
[18]	validation_0-logloss:0.590713
[19]	validation_0-logloss:0.589064
[20]	validation_0-logloss:0.585284
[21]	validation_0-logloss:0.584056
[22]	validation_0-logloss:0.583263
[23]	validation_0-logloss:0.580971
[24]	validation_0-logloss:0.578954
[25]	validation_0-logloss:0.577482
[26]	validation_0-logloss:0.576739
[27]	validation_0-logloss:0.576244
[28]	validation_0-logloss:0.576103
[29]	validation_0-logloss:0.576254
[30]	validation_0-logloss:0.573844
[31]	validation_0-logloss:0.577162
[32]	validation_0-logloss:0.579015
[33]	validation_0-logloss:0.579894
[34]	validation_0-logloss:0.580741
[35]	validation_0-logloss:0.579695
[36]	validation_0-logloss:0.579225
[37]	validation_0-logloss:0.578078
[38]	validation_0-logloss:0.578809
[39]	validation_0-logloss:0.578256
[40]	validation_0-logloss:0.578153
[41]	validation_0-logloss:0.577806
[42]	validation_0-logloss:0.577498
[43]	validation_0-logloss:0.578813
[44]	validation_0-logloss:0.579133
[45]	validation_0-logloss:0.578626
[46]	validation_0-logloss:0.578923
[47]	validation_0-logloss:0.580233
[48]	validation_0-logloss:0.578731
[49]	validation_0-logloss:0.579359
[50]	validation_0-logloss:0.58073
[51]	validation_0-logloss:0.580624
[52]	validation_0-logloss:0.580311
[53]	validation_0-logloss:0.580671
[54]	validation_0-logloss:0.580841
[55]	validation_0-logloss:0.581847
[56]	validation_0-logloss:0.582623
[57]	validation_0-logloss:0.583419
[58]	validation_0-logloss:0.582496
[59]	validation_0-logloss:0.582651
[60]	validation_0-logloss:0.582798
[61]	validation_0-logloss:0.581358
[62]	validation_0-logloss:0.581306
[63]	validation_0-logloss:0.581983
[64]	validation_0-logloss:0.582444
[65]	validation_0-logloss:0.581965
[66]	validation_0-logloss:0.581981
[67]	validation_0-logloss:0.581607
[68]	validation_0-logloss:0.581757
[69]	validation_0-logloss:0.581876
[70]	validation_0-logloss:0.581728
[71]	validation_0-logloss:0.582399
[72]	validation_0-logloss:0.582537
[73]	validation_0-logloss:0.582414
[74]	validation_0-logloss:0.582828
[75]	validation_0-logloss:0.58276
[76]	validation_0-logloss:0.582895
[77]	validation_0-logloss:0.583079
[78]	validation_0-logloss:0.583266
[79]	validation_0-logloss:0.583633
[80]	validation_0-logloss:0.583593
[81]	validation_0-logloss:0.583325
[82]	validation_0-logloss:0.58402
[83]	validation_0-logloss:0.584149
[84]	validation_0-logloss:0.584133
[85]	validation_0-logloss:0.584137
[86]	validation_0-logloss:0.584497
[87]	validation_0-logloss:0.584719
[88]	validation_0-logloss:0.584887
[89]	validation_0-logloss:0.585216
[90]	validation_0-logloss:0.585382
[91]	validation_0-logloss:0.585652
[92]	validation_0-logloss:0.585669
[93]	validation_0-logloss:0.585274
[94]	validation_0-logloss:0.586035
[95]	validation_0-logloss:0.586365
[96]	validation_0-logloss:0.586512
[97]	validation_0-logloss:0.586545
[98]	validation_0-logloss:0.586641
[99]	validation_0-logloss:0.586937
[100]	validation_0-logloss:0.587275
[101]	validation_0-logloss:0.587347
[102]	validation_0-logloss:0.587212
[103]	validation_0-logloss:0.587149
[104]	validation_0-logloss:0.587291
[105]	validation_0-logloss:0.587764
[106]	validation_0-logloss:0.587895
[107]	validation_0-logloss:0.58781
[108]	validation_0-logloss:0.587872
[109]	validation_0-logloss:0.587642
[110]	validation_0-logloss:0.587937
[111]	validation_0-logloss:0.588047
[112]	validation_0-logloss:0.588289
[113]	validation_0-logloss:0.588392
[114]	validation_0-logloss:0.588461
[115]	validation_0-logloss:0.588587
[116]	validation_0-logloss:0.588256
[117]	validation_0-logloss:0.588205
[118]	validation_0-logloss:0.588228
[119]	validation_0-logloss:0.58819
[120]	validation_0-logloss:0.588357
[121]	validation_0-logloss:0.588579
[122]	validation_0-logloss:0.58858
[123]	validation_0-logloss:0.588677
[124]	validation_0-logloss:0.588643
[125]	validation_0-logloss:0.588355
[126]	validation_0-logloss:0.588297
[127]	validation_0-logloss:0.58817
[128]	validation_0-logloss:0.588354
[129]	validation_0-logloss:0.58835
[130]	validation_0-logloss:0.588515
Stopping. Best iteration:
[30]	validation_0-logloss:0.573844

Kaggle Test Data being obtained
Finished getting kaggle test data
