Using Theano backend.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is enabled with initial size: 95.0% of memory, cuDNN 5105)
Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.680195
Will train until validation_0-logloss hasn't improved in 100 rounds.
[1]	validation_0-logloss:0.670304
[2]	validation_0-logloss:0.660214
[3]	validation_0-logloss:0.650998
[4]	validation_0-logloss:0.643494
[5]	validation_0-logloss:0.636145
[6]	validation_0-logloss:0.630405
[7]	validation_0-logloss:0.624199
[8]	validation_0-logloss:0.618905
[9]	validation_0-logloss:0.614261
[10]	validation_0-logloss:0.61175
[11]	validation_0-logloss:0.60722
[12]	validation_0-logloss:0.603556
[13]	validation_0-logloss:0.599331
[14]	validation_0-logloss:0.598293
[15]	validation_0-logloss:0.593884
[16]	validation_0-logloss:0.589953
[17]	validation_0-logloss:0.587338
[18]	validation_0-logloss:0.585776
[19]	validation_0-logloss:0.584056
[20]	validation_0-logloss:0.582569
[21]	validation_0-logloss:0.579567
[22]	validation_0-logloss:0.577685
[23]	validation_0-logloss:0.57606
[24]	validation_0-logloss:0.574476
[25]	validation_0-logloss:0.574861
[26]	validation_0-logloss:0.574655
[27]	validation_0-logloss:0.572414
[28]	validation_0-logloss:0.570493
[29]	validation_0-logloss:0.571794
[30]	validation_0-logloss:0.572971
[31]	validation_0-logloss:0.571536
[32]	validation_0-logloss:0.570894
[33]	validation_0-logloss:0.571171
[34]	validation_0-logloss:0.570809
[35]	validation_0-logloss:0.57082
[36]	validation_0-logloss:0.571031
[37]	validation_0-logloss:0.572154
[38]	validation_0-logloss:0.571806
[39]	validation_0-logloss:0.572443
[40]	validation_0-logloss:0.573512
[41]	validation_0-logloss:0.572621
[42]	validation_0-logloss:0.572952
[43]	validation_0-logloss:0.572697
[44]	validation_0-logloss:0.573194
[45]	validation_0-logloss:0.572945
[46]	validation_0-logloss:0.575244
[47]	validation_0-logloss:0.576619
[48]	validation_0-logloss:0.576141
[49]	validation_0-logloss:0.577359
[50]	validation_0-logloss:0.576667
[51]	validation_0-logloss:0.576996
[52]	validation_0-logloss:0.57694
[53]	validation_0-logloss:0.577336
[54]	validation_0-logloss:0.576656
[55]	validation_0-logloss:0.577527
[56]	validation_0-logloss:0.577055
[57]	validation_0-logloss:0.577778
[58]	validation_0-logloss:0.577973
[59]	validation_0-logloss:0.579084
[60]	validation_0-logloss:0.580311
[61]	validation_0-logloss:0.58045
[62]	validation_0-logloss:0.579471
[63]	validation_0-logloss:0.580415
[64]	validation_0-logloss:0.580314
[65]	validation_0-logloss:0.580689
[66]	validation_0-logloss:0.581543
[67]	validation_0-logloss:0.581482
[68]	validation_0-logloss:0.582213
[69]	validation_0-logloss:0.582172
[70]	validation_0-logloss:0.581514
[71]	validation_0-logloss:0.581876
[72]	validation_0-logloss:0.581848
[73]	validation_0-logloss:0.582028
[74]	validation_0-logloss:0.581727
[75]	validation_0-logloss:0.581482
[76]	validation_0-logloss:0.581346
[77]	validation_0-logloss:0.58129
[78]	validation_0-logloss:0.580919
[79]	validation_0-logloss:0.581507
[80]	validation_0-logloss:0.581203
[81]	validation_0-logloss:0.580909
[82]	validation_0-logloss:0.581574
[83]	validation_0-logloss:0.582479
[84]	validation_0-logloss:0.582424
[85]	validation_0-logloss:0.582069
[86]	validation_0-logloss:0.581852
[87]	validation_0-logloss:0.582696
[88]	validation_0-logloss:0.582687
[89]	validation_0-logloss:0.582618
[90]	validation_0-logloss:0.582801
[91]	validation_0-logloss:0.58286
[92]	validation_0-logloss:0.582692
[93]	validation_0-logloss:0.582529
[94]	validation_0-logloss:0.582987
[95]	validation_0-logloss:0.583191
[96]	validation_0-logloss:0.583161
[97]	validation_0-logloss:0.582697
[98]	validation_0-logloss:0.582632
[99]	validation_0-logloss:0.582561
[100]	validation_0-logloss:0.582272
[101]	validation_0-logloss:0.582505
[102]	validation_0-logloss:0.58274
[103]	validation_0-logloss:0.582666
[104]	validation_0-logloss:0.582702
[105]	validation_0-logloss:0.582563
[106]	validation_0-logloss:0.582849
[107]	validation_0-logloss:0.58327
[108]	validation_0-logloss:0.583127
[109]	validation_0-logloss:0.583228
[110]	validation_0-logloss:0.583105
[111]	validation_0-logloss:0.583114
[112]	validation_0-logloss:0.58289
[113]	validation_0-logloss:0.582772
[114]	validation_0-logloss:0.582676
[115]	validation_0-logloss:0.582743
[116]	validation_0-logloss:0.583057
[117]	validation_0-logloss:0.583345
[118]	validation_0-logloss:0.583297
[119]	validation_0-logloss:0.583463
[120]	validation_0-logloss:0.583533
[121]	validation_0-logloss:0.583405
[122]	validation_0-logloss:0.583578
[123]	validation_0-logloss:0.58358
[124]	validation_0-logloss:0.583716
[125]	validation_0-logloss:0.583883
[126]	validation_0-logloss:0.583731
[127]	validation_0-logloss:0.583595
[128]	validation_0-logloss:0.583769
Stopping. Best iteration:
[28]	validation_0-logloss:0.570493

Kaggle Test Data being obtained
Finished getting kaggle test data
