Using Theano backend.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is enabled with initial size: 95.0% of memory, cuDNN 5105)
Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.68036
Will train until validation_0-logloss hasn't improved in 100 rounds.
[1]	validation_0-logloss:0.671127
[2]	validation_0-logloss:0.661025
[3]	validation_0-logloss:0.653615
[4]	validation_0-logloss:0.645556
[5]	validation_0-logloss:0.641274
[6]	validation_0-logloss:0.6335
[7]	validation_0-logloss:0.626737
[8]	validation_0-logloss:0.621852
[9]	validation_0-logloss:0.615592
[10]	validation_0-logloss:0.610026
[11]	validation_0-logloss:0.605573
[12]	validation_0-logloss:0.602597
[13]	validation_0-logloss:0.600151
[14]	validation_0-logloss:0.594915
[15]	validation_0-logloss:0.592309
[16]	validation_0-logloss:0.59082
[17]	validation_0-logloss:0.589713
[18]	validation_0-logloss:0.588754
[19]	validation_0-logloss:0.587099
[20]	validation_0-logloss:0.585883
[21]	validation_0-logloss:0.585313
[22]	validation_0-logloss:0.582223
[23]	validation_0-logloss:0.580102
[24]	validation_0-logloss:0.578621
[25]	validation_0-logloss:0.578603
[26]	validation_0-logloss:0.57785
[27]	validation_0-logloss:0.576588
[28]	validation_0-logloss:0.578286
[29]	validation_0-logloss:0.576663
[30]	validation_0-logloss:0.576853
[31]	validation_0-logloss:0.577611
[32]	validation_0-logloss:0.577763
[33]	validation_0-logloss:0.57711
[34]	validation_0-logloss:0.576885
[35]	validation_0-logloss:0.575159
[36]	validation_0-logloss:0.575288
[37]	validation_0-logloss:0.574542
[38]	validation_0-logloss:0.576721
[39]	validation_0-logloss:0.577562
[40]	validation_0-logloss:0.577765
[41]	validation_0-logloss:0.577691
[42]	validation_0-logloss:0.577457
[43]	validation_0-logloss:0.577642
[44]	validation_0-logloss:0.579838
[45]	validation_0-logloss:0.582355
[46]	validation_0-logloss:0.579937
[47]	validation_0-logloss:0.581226
[48]	validation_0-logloss:0.581558
[49]	validation_0-logloss:0.580656
[50]	validation_0-logloss:0.580212
[51]	validation_0-logloss:0.582187
[52]	validation_0-logloss:0.584407
[53]	validation_0-logloss:0.697629
[54]	validation_0-logloss:0.583334
[55]	validation_0-logloss:0.58766
[56]	validation_0-logloss:0.589976
[57]	validation_0-logloss:0.699741
[58]	validation_0-logloss:0.699897
[59]	validation_0-logloss:0.700044
[60]	validation_0-logloss:0.698867
[61]	validation_0-logloss:0.69988
[62]	validation_0-logloss:0.700044
[63]	validation_0-logloss:0.700768
[64]	validation_0-logloss:0.700865
[65]	validation_0-logloss:0.701898
[66]	validation_0-logloss:0.702071
[67]	validation_0-logloss:0.702493
[68]	validation_0-logloss:0.702154
[69]	validation_0-logloss:0.702685
[70]	validation_0-logloss:0.70263
[71]	validation_0-logloss:0.702876
[72]	validation_0-logloss:0.703086
[73]	validation_0-logloss:0.703018
[74]	validation_0-logloss:0.703287
[75]	validation_0-logloss:0.703042
[76]	validation_0-logloss:0.704514
[77]	validation_0-logloss:0.704863
[78]	validation_0-logloss:0.705506
[79]	validation_0-logloss:0.705189
[80]	validation_0-logloss:0.705288
[81]	validation_0-logloss:0.705575
[82]	validation_0-logloss:0.70526
[83]	validation_0-logloss:0.705143
[84]	validation_0-logloss:0.705627
[85]	validation_0-logloss:0.706073
[86]	validation_0-logloss:0.705972
[87]	validation_0-logloss:0.705088
[88]	validation_0-logloss:0.705239
[89]	validation_0-logloss:0.705364
[90]	validation_0-logloss:0.705546
[91]	validation_0-logloss:0.705693
[92]	validation_0-logloss:0.705115
[93]	validation_0-logloss:0.705209
[94]	validation_0-logloss:0.70535
[95]	validation_0-logloss:0.705048
[96]	validation_0-logloss:0.704927
[97]	validation_0-logloss:0.70487
[98]	validation_0-logloss:0.704696
[99]	validation_0-logloss:0.704948
[100]	validation_0-logloss:0.705101
[101]	validation_0-logloss:0.705421
[102]	validation_0-logloss:0.705604
[103]	validation_0-logloss:0.705116
[104]	validation_0-logloss:0.705221
[105]	validation_0-logloss:0.705459
[106]	validation_0-logloss:0.705921
[107]	validation_0-logloss:0.705975
[108]	validation_0-logloss:0.705953
[109]	validation_0-logloss:0.705991
[110]	validation_0-logloss:0.706114
[111]	validation_0-logloss:0.705981
[112]	validation_0-logloss:0.706236
[113]	validation_0-logloss:0.706413
[114]	validation_0-logloss:0.706641
[115]	validation_0-logloss:0.706557
[116]	validation_0-logloss:0.706808
[117]	validation_0-logloss:0.706808
[118]	validation_0-logloss:0.706941
[119]	validation_0-logloss:0.707114
[120]	validation_0-logloss:0.706755
[121]	validation_0-logloss:0.706933
[122]	validation_0-logloss:0.707158
[123]	validation_0-logloss:0.70747
[124]	validation_0-logloss:0.707701
[125]	validation_0-logloss:0.708013
[126]	validation_0-logloss:0.707754
[127]	validation_0-logloss:0.707921
[128]	validation_0-logloss:0.707964
[129]	validation_0-logloss:0.707967
[130]	validation_0-logloss:0.707756
[131]	validation_0-logloss:0.707979
[132]	validation_0-logloss:0.707699
[133]	validation_0-logloss:0.707847
[134]	validation_0-logloss:0.707815
[135]	validation_0-logloss:0.707998
[136]	validation_0-logloss:0.707906
[137]	validation_0-logloss:0.707973
Stopping. Best iteration:
[37]	validation_0-logloss:0.574542

Kaggle Test Data being obtained
Finished getting kaggle test data
